healthy;infected;dead;#dominant_virus
19;101;7;NP-Virus-G14
18;102;7;NP-Virus-G14
19;101;7;NP-Virus-G14
17;103;7;NP-Virus-G14
18;102;7;NP-Virus-G14
17;103;7;NP-Virus-G14
17;103;7;NP-Virus-G14
17;103;7;NP-Virus-G14
17;103;7;NP-Virus-G14
16;104;7;NP-Virus-G14
17;103;7;NP-Virus-G14
15;105;7;NP-Virus-G14
18;102;7;NP-Virus-G14
19;101;7;NP-Virus-G14
18;102;7;NP-Virus-G14
19;101;7;NP-Virus-G14
18;102;7;NP-Virus-G14
18;102;7;NP-Virus-G16
16;104;7;NP-Virus-G16
16;104;7;NP-Virus-G16
17;103;7;NP-Virus-G16
19;101;7;NP-Virus-G14
16;104;7;NP-Virus-G16
15;105;7;NP-Virus-G16
14;106;7;NP-Virus-G16
15;105;7;NP-Virus-G16
14;106;7;NP-Virus-G16
18;102;7;NP-Virus-G16
18;102;7;NP-Virus-G16
15;105;7;NP-Virus-G16
16;104;7;NP-Virus-G16
13;107;7;NP-Virus-G16
13;107;7;NP-Virus-G16
13;107;7;NP-Virus-G16
13;107;7;NP-Virus-G16
13;107;7;NP-Virus-G16
15;105;7;NP-Virus-G16
15;105;7;NP-Virus-G16
16;104;7;NP-Virus-G16
16;104;7;NP-Virus-G16
18;102;7;NP-Virus-G16
20;100;7;NP-Virus-G16
19;101;7;NP-Virus-G16
19;101;7;NP-Virus-G16
20;100;7;NP-Virus-G16
21;99;7;NP-Virus-G16
21;99;7;NP-Virus-G16
19;101;7;NP-Virus-G16
18;102;7;NP-Virus-G16
19;101;7;NP-Virus-G16
17;103;7;NP-Virus-G16
16;104;7;NP-Virus-G16
16;104;7;NP-Virus-G16
14;106;7;NP-Virus-G14
13;107;7;NP-Virus-G16
15;105;7;NP-Virus-G16
17;103;7;NP-Virus-G14
17;103;7;NP-Virus-G14
15;105;7;NP-Virus-G14
15;105;7;NP-Virus-G14
15;105;7;NP-Virus-G14
15;105;7;NP-Virus-G14
15;105;7;NP-Virus-G14
16;104;7;NP-Virus-G14
18;102;7;NP-Virus-G14
18;102;7;NP-Virus-G14
17;103;7;NP-Virus-G14
15;105;7;NP-Virus-G14
18;102;7;NP-Virus-G16
18;102;7;NP-Virus-G16
19;101;7;NP-Virus-G14
18;102;7;NP-Virus-G14
19;101;7;NP-Virus-G14
18;102;7;NP-Virus-G16
17;103;7;NP-Virus-G16
17;103;7;NP-Virus-G16
16;104;7;NP-Virus-G16
15;105;7;NP-Virus-G16
14;106;7;NP-Virus-G16
15;105;7;NP-Virus-G16
17;103;7;NP-Virus-G16
16;104;7;NP-Virus-G16
18;102;7;NP-Virus-G16
19;101;7;NP-Virus-G16
18;102;7;NP-Virus-G16
20;100;7;NP-Virus-G16
20;100;7;NP-Virus-G16
19;101;7;NP-Virus-G16
19;101;7;NP-Virus-G16
21;99;7;NP-Virus-G16
19;101;7;NP-Virus-G16
20;100;7;NP-Virus-G16
20;100;7;NP-Virus-G16
19;101;7;NP-Virus-G16
18;102;7;NP-Virus-G16
18;102;7;NP-Virus-G16
21;99;7;NP-Virus-G16
22;98;7;NP-Virus-G16
19;101;7;NP-Virus-G16
18;102;7;NP-Virus-G16
17;103;7;NP-Virus-G16
16;104;7;NP-Virus-G16
17;103;7;NP-Virus-G16
16;104;7;NP-Virus-G16
16;104;7;NP-Virus-G16
16;104;7;NP-Virus-G16
16;104;7;NP-Virus-G16
14;106;7;NP-Virus-G16
12;108;7;NP-Virus-G16
12;108;7;NP-Virus-G16
12;108;7;NP-Virus-G16
14;106;7;NP-Virus-G16
11;109;7;NP-Virus-G16
11;109;7;NP-Virus-G16
14;106;7;NP-Virus-G16
12;108;7;NP-Virus-G16
12;108;7;NP-Virus-G16
11;109;7;NP-Virus-G16
11;109;7;NP-Virus-G16
13;107;7;NP-Virus-G16
12;108;7;NP-Virus-G16
10;110;7;NP-Virus-G16
10;110;7;NP-Virus-G16
8;112;7;NP-Virus-G16
9;111;7;NP-Virus-G16
10;110;7;NP-Virus-G16
10;110;7;NP-Virus-G16
9;111;7;NP-Virus-G16
9;111;7;NP-Virus-G16
12;108;7;NP-Virus-G14
12;108;7;NP-Virus-G14
12;108;7;NP-Virus-G14
10;110;7;NP-Virus-G14
10;110;7;NP-Virus-G14
8;112;7;NP-Virus-G14
9;111;7;NP-Virus-G14
8;112;7;NP-Virus-G14
9;111;7;NP-Virus-G14
9;111;7;NP-Virus-G14
10;110;7;NP-Virus-G14
12;108;7;NP-Virus-G14
10;110;7;NP-Virus-G14
11;109;7;NP-Virus-G14
8;112;7;NP-Virus-G14
6;114;7;NP-Virus-G14
5;115;7;NP-Virus-G14
5;115;7;NP-Virus-G14
7;113;7;NP-Virus-G16
8;112;7;NP-Virus-G16
9;111;7;NP-Virus-G16
9;111;7;NP-Virus-G16
10;110;7;NP-Virus-G16
10;110;7;NP-Virus-G16
11;109;7;NP-Virus-G16
12;108;7;NP-Virus-G16
10;110;7;NP-Virus-G16
11;109;7;NP-Virus-G16
10;109;8;NP-Virus-G16
13;106;8;NP-Virus-G16
12;107;8;NP-Virus-G16
14;105;8;NP-Virus-G16
14;105;8;NP-Virus-G16
13;106;8;NP-Virus-G16
10;109;8;NP-Virus-G16
12;107;8;NP-Virus-G16
14;105;8;NP-Virus-G16
15;104;8;NP-Virus-G16
14;105;8;NP-Virus-G16
12;107;8;NP-Virus-G16
11;108;8;NP-Virus-G16
9;110;8;NP-Virus-G16
11;108;8;NP-Virus-G16
8;111;8;NP-Virus-G16
8;111;8;NP-Virus-G16
8;111;8;NP-Virus-G16
7;112;8;NP-Virus-G16
8;111;8;NP-Virus-G16
8;111;8;NP-Virus-G16
9;110;8;NP-Virus-G16
9;110;8;NP-Virus-G16
7;112;8;NP-Virus-G16
8;111;8;NP-Virus-G16
8;111;8;NP-Virus-G16
13;106;8;NP-Virus-G16
16;103;8;NP-Virus-G16
16;103;8;NP-Virus-G16
16;103;8;NP-Virus-G16
15;104;8;NP-Virus-G20
13;106;8;NP-Virus-G20
13;106;8;NP-Virus-G20
13;106;8;NP-Virus-G20
13;106;8;NP-Virus-G20
11;108;8;NP-Virus-G20
13;106;8;NP-Virus-G20
11;108;8;NP-Virus-G20
10;109;8;NP-Virus-G20
10;109;8;NP-Virus-G20
8;111;8;NP-Virus-G20
7;112;8;NP-Virus-G20
6;113;8;NP-Virus-G20
5;114;8;NP-Virus-G20
5;114;8;NP-Virus-G20
5;114;8;NP-Virus-G20
9;110;8;NP-Virus-G20
11;108;8;NP-Virus-G20
12;107;8;NP-Virus-G20
10;109;8;NP-Virus-G20
8;111;8;NP-Virus-G20
9;110;8;NP-Virus-G20
10;109;8;NP-Virus-G20
9;110;8;NP-Virus-G20
8;110;9;NP-Virus-G20
8;110;9;NP-Virus-G20
8;110;9;NP-Virus-G20
7;111;9;NP-Virus-G20
6;112;9;NP-Virus-G20
3;115;9;NP-Virus-G20
3;115;9;NP-Virus-G20
4;114;9;NP-Virus-G20
5;113;9;NP-Virus-G20
5;113;9;NP-Virus-G20
6;112;9;NP-Virus-G20
5;113;9;NP-Virus-G20
6;112;9;NP-Virus-G20
4;114;9;NP-Virus-G20
3;115;9;NP-Virus-G20
2;116;9;NP-Virus-G20
4;114;9;NP-Virus-G20
3;115;9;NP-Virus-G20
2;116;9;NP-Virus-G20
4;114;9;NP-Virus-G20
3;114;10;NP-Virus-G20
5;112;10;NP-Virus-G20
5;112;10;NP-Virus-G20
4;113;10;NP-Virus-G20
3;114;10;NP-Virus-G20
4;113;10;NP-Virus-G20
6;111;10;NP-Virus-G20
4;113;10;NP-Virus-G20
5;112;10;NP-Virus-G20
5;112;10;NP-Virus-G20
6;111;10;NP-Virus-G20
6;111;10;NP-Virus-G20
5;112;10;NP-Virus-G20
4;113;10;NP-Virus-G20
5;112;10;NP-Virus-G20
4;113;10;NP-Virus-G20
5;112;10;NP-Virus-G20
5;111;11;NP-Virus-G20
5;111;11;NP-Virus-G20
5;111;11;NP-Virus-G20
6;110;11;NP-Virus-G20
5;111;11;NP-Virus-G20
4;112;11;NP-Virus-G20
2;114;11;NP-Virus-G20
3;113;11;NP-Virus-G20
6;110;11;NP-Virus-G20
6;109;12;NP-Virus-G20
6;109;12;NP-Virus-G20
4;110;13;NP-Virus-G20
4;110;13;NP-Virus-G20
3;111;13;NP-Virus-G20
5;109;13;NP-Virus-G20
5;109;13;NP-Virus-G20
7;107;13;NP-Virus-G20
9;105;13;NP-Virus-G20
10;104;13;NP-Virus-G20
11;103;13;NP-Virus-G20
8;105;14;NP-Virus-G20
5;108;14;NP-Virus-G20
6;107;14;NP-Virus-G20
5;108;14;NP-Virus-G20
6;107;14;NP-Virus-G20
7;106;14;NP-Virus-G20
6;107;14;NP-Virus-G20
6;107;14;NP-Virus-G20
8;105;14;NP-Virus-G20
8;105;14;NP-Virus-G20
9;104;14;NP-Virus-G20
8;105;14;NP-Virus-G20
4;109;14;NP-Virus-G20
3;109;15;NP-Virus-G20
2;110;15;NP-Virus-G20
2;110;15;NP-Virus-G20
2;110;15;NP-Virus-G20
3;109;15;NP-Virus-G20
3;109;15;NP-Virus-G20
6;106;15;NP-Virus-G21
7;105;15;NP-Virus-G20
6;106;15;NP-Virus-G20
5;107;15;NP-Virus-G20
6;106;15;NP-Virus-G21
6;106;15;NP-Virus-G21
9;103;15;NP-Virus-G21
8;104;15;NP-Virus-G20
8;104;15;NP-Virus-G20
8;104;15;NP-Virus-G20
8;104;15;NP-Virus-G20
10;102;15;NP-Virus-G20
7;105;15;NP-Virus-G20
9;103;15;NP-Virus-G20
7;104;16;NP-Virus-G20
7;104;16;NP-Virus-G20
7;104;16;NP-Virus-G20
6;105;16;NP-Virus-G20
4;107;16;NP-Virus-G20
4;106;17;NP-Virus-G20
4;106;17;NP-Virus-G21
5;105;17;NP-Virus-G21
6;104;17;NP-Virus-G21
4;105;18;NP-Virus-G21
4;105;18;NP-Virus-G21
4;105;18;NP-Virus-G21
4;103;20;NP-Virus-G21
4;103;20;NP-Virus-G21
6;101;20;NP-Virus-G21
9;98;20;NP-Virus-G21
9;98;20;NP-Virus-G21
9;98;20;NP-Virus-G21
5;102;20;NP-Virus-G21
5;102;20;NP-Virus-G21
6;101;20;NP-Virus-G21
7;100;20;NP-Virus-G21
6;100;21;NP-Virus-G21
6;99;22;NP-Virus-G21
10;95;22;NP-Virus-G21
10;95;22;NP-Virus-G21
9;96;22;NP-Virus-G21
10;95;22;NP-Virus-G21
11;93;23;NP-Virus-G21
11;92;24;NP-Virus-G21
8;94;25;NP-Virus-G21
6;96;25;NP-Virus-G21
6;96;25;NP-Virus-G21
3;99;25;NP-Virus-G21
3;99;25;NP-Virus-G21
4;98;25;NP-Virus-G21
4;98;25;NP-Virus-G21
4;98;25;NP-Virus-G21
2;100;25;NP-Virus-G21
0;102;25;NP-Virus-G21
0;102;25;NP-Virus-G21
0;102;25;NP-Virus-G21
3;99;25;NP-Virus-G21
3;99;25;NP-Virus-G21
2;100;25;NP-Virus-G21
4;98;25;NP-Virus-G21
6;96;25;NP-Virus-G21
4;98;25;NP-Virus-G21
4;98;25;NP-Virus-G21
2;99;26;NP-Virus-G21
2;99;26;NP-Virus-G21
1;99;27;NP-Virus-G21
2;98;27;NP-Virus-G21
3;97;27;NP-Virus-G21
4;96;27;NP-Virus-G21
2;98;27;NP-Virus-G21
1;99;27;NP-Virus-G21
1;99;27;NP-Virus-G21
2;97;28;NP-Virus-G21
2;97;28;NP-Virus-G21
2;97;28;NP-Virus-G21
2;97;28;NP-Virus-G21
2;97;28;NP-Virus-G21
3;96;28;NP-Virus-G21
3;95;29;NP-Virus-G21
3;95;29;NP-Virus-G21
2;96;29;NP-Virus-G21
2;96;29;NP-Virus-G21
1;97;29;NP-Virus-G21
1;97;29;NP-Virus-G21
2;96;29;NP-Virus-G21
2;96;29;NP-Virus-G21
5;93;29;NP-Virus-G21
6;92;29;NP-Virus-G21
5;93;29;NP-Virus-G21
6;92;29;NP-Virus-G21
6;92;29;NP-Virus-G21
6;92;29;NP-Virus-G21
3;94;30;NP-Virus-G21
4;93;30;NP-Virus-G21
5;92;30;NP-Virus-G21
5;92;30;NP-Virus-G21
3;93;31;NP-Virus-G21
3;93;31;NP-Virus-G21
4;92;31;NP-Virus-G21
5;91;31;NP-Virus-G21
5;91;31;NP-Virus-G21
5;91;31;NP-Virus-G21
10;86;31;NP-Virus-G21
11;85;31;NP-Virus-G21
12;83;32;NP-Virus-G21
9;86;32;NP-Virus-G21
10;85;32;NP-Virus-G21
9;86;32;NP-Virus-G21
9;86;32;NP-Virus-G21
10;85;32;NP-Virus-G21
9;86;32;NP-Virus-G21
9;86;32;NP-Virus-G21
8;87;32;NP-Virus-G21
7;87;33;NP-Virus-G21
8;86;33;NP-Virus-G21
7;87;33;NP-Virus-G21
6;88;33;NP-Virus-G21
3;91;33;NP-Virus-G21
2;92;33;NP-Virus-G21
3;91;33;NP-Virus-G21
2;92;33;NP-Virus-G21
6;88;33;NP-Virus-G21
5;89;33;NP-Virus-G21
6;88;33;NP-Virus-G21
